date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:04:40	3188/3188	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2006%20Oct%202021%2008:04:23%20GMT	https://barestostudio.com/wp-content/plugins/weddingpress/addons/comment-kit//js/libs/autosize.min.js?ver=1.14	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/weddingpress/addons/comment-kit/js/libs/autosize.mind50e.js	(from https://barestostudio.com/maesha-rifaldi/)
11:04:41	140569/140569	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2006%20Oct%202021%2008:04:23%20GMT	https://barestostudio.com/wp-content/plugins/weddingpress/assets/js/wdp-swiper.min.js	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/weddingpress/assets/js/wdp-swiper.min.js	(from https://barestostudio.com/maesha-rifaldi/)
11:04:42	14106/14106	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2006%20Oct%202021%2008:04:23%20GMT	https://barestostudio.com/wp-content/plugins/weddingpress/assets/js/qr-code.js	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/weddingpress/assets/js/qr-code.js	(from https://barestostudio.com/maesha-rifaldi/)
11:04:43	1325/1325	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2006%20Oct%202021%2008:04:23%20GMT	https://barestostudio.com/wp-content/plugins/weddingpress/assets/js/wdp-horizontal.js	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/weddingpress/assets/js/wdp-horizontal.js	(from https://barestostudio.com/maesha-rifaldi/)
11:04:44	2931/2931	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2006%20Oct%202021%2008:04:23%20GMT	https://barestostudio.com/wp-content/plugins/weddingpress/assets/js/exad-scripts.min.js?ver=2.8.6	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/weddingpress/assets/js/exad-scripts.mind2b8.js	(from https://barestostudio.com/maesha-rifaldi/)
11:04:45	95208/95208	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2006%20Oct%202021%2006:48:29%20GMT	https://barestostudio.com/wp-content/plugins/wp-whatsapp/assets/dist/js/njt-whatsapp.js?ver=3.1.2	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/wp-whatsapp/assets/dist/js/njt-whatsapp0226.js	(from https://barestostudio.com/maesha-rifaldi/)
11:04:46	888/888	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2006%20Oct%202021%2006:48:29%20GMT	https://barestostudio.com/wp-content/plugins/wp-whatsapp/assets/js/whatsapp-button.js?ver=3.1.2	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/wp-whatsapp/assets/js/whatsapp-button0226.js	(from https://barestostudio.com/maesha-rifaldi/)
11:04:47	120124/120124	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2018%20May%202021%2019:09:03%20GMT	https://barestostudio.com/wp-content/plugins/az-video-and-audio-player-addon-for-elementor/assets/js/plyr.min.js?ver=1.0.0	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/az-video-and-audio-player-addon-for-elementor/assets/js/plyr.min8a54.js	(from https://barestostudio.com/maesha-rifaldi/)
11:04:48	192174/192174	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2018%20May%202021%2019:09:03%20GMT	https://barestostudio.com/wp-content/plugins/az-video-and-audio-player-addon-for-elementor/assets/js/plyr.polyfilled.min.js?ver=1.0.0	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/az-video-and-audio-player-addon-for-elementor/assets/js/plyr.polyfilled.min8a54.js	(from https://barestostudio.com/maesha-rifaldi/)
11:04:49	4871/4871	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2018%20May%202021%2019:09:03%20GMT	https://barestostudio.com/wp-content/plugins/az-video-and-audio-player-addon-for-elementor/assets/js/main.js?ver=1.0.0	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/az-video-and-audio-player-addon-for-elementor/assets/js/main8a54.js	(from https://barestostudio.com/maesha-rifaldi/)
